Tree ID;Genus;Species;Variety;Cultivar;Plant Month;Plant Year;BLOCK;LOT;Parcel Address;Month of Update;Year of Last Update;Plant Installer
468;Quercus;rubra;;;6;2016;18901;2;1000 GARFIELD AVE.;3;2019;Jersey City Redevelopment Agency
495;Quercus;rubra;;;6;2016;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
194;Gleditsia;triacanthos;;;4;2017;11404;18;126 NEWARK AVE.;3;2019;Jersey City Division of Architecture
177;Cornus;kousa;;;4;2017;11603;41;108 FIRST ST.;3;2019;Jersey City Division of Architecture
179;Cornus;kousa;;;4;2017;11603;41;108 FIRST ST.;3;2019;Jersey City Division of Architecture
738;Tilia;cordata;;Greenspire;4;2014;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
742;Tilia;cordata;;Greenspire;4;2014;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
247;Juniperus;chinensis;;Torulosa;4;2017;11603;41;108 FIRST ST.;3;2019;Jersey City Division of Architecture
240;Juniperus;chinensis;;Torulosa;4;2017;11603;41;108 FIRST ST.;3;2019;Jersey City Division of Architecture
250;Juniperus;chinensis;;Torulosa;4;2017;11603;41;108 FIRST ST.;3;2019;Jersey City Division of Architecture
274;Magnolia;virginiana;;;0;0;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
348;Platanus;occidentalis;;;6;2016;19803;12;960-958 GARFIELD AVE;3;2019;Jersey City Redevelopment Agency
355;Platanus;occidentalis;;;6;2016;19803;18;976 GARFIELD AVE.;3;2019;Jersey City Redevelopment Agency
365;Pseudotsuga;menziesii;;;6;2016;19803;5;WOODWARD ST;3;2019;Jersey City Redevelopment Agency
325;Platanus;occidentalis;;;6;2016;18901;2;1000 GARFIELD AVE.;3;2019;Jersey City Redevelopment Agency
208;Juniperus;virginiana;;Hillspire;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
224;Juniperus;virginiana;;Hillspire;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
71;Acer;rubrum;;Sunvalley;6;2016;18901;2;1000 GARFIELD AVE.;3;2019;Jersey City Redevelopment Agency
85;Acer;rubrum;;Sunvalley;6;2016;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
38;Acer;saccharum;;Legacy;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
15;Acer;saccharum;;Legacy;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
44;Acer;saccharum;;Legacy;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
62;Acer;rubrum;;Sunvalley;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
466;Quercus;bicolor;;;6;2016;18901;2;1000 GARFIELD AVE.;3;2019;Jersey City Redevelopment Agency
450;Quercus;bicolor;;;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
386;Quercus;rubra;;;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
402;Quercus;rubra;;;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
383;Quercus;rubra;;;6;2016;18901;18;1 BERRY ROAD;3;2019;Jersey City Redevelopment Agency
516;Quercus;bicolor;;;6;2016;19803;12;960-958 GARFIELD AVE;3;2019;Jersey City Redevelopment Agency
105;Acer;rubrum;;Sunvalley;6;2016;19803;12;960-958 GARFIELD AVE;3;2019;Jersey City Redevelopment Agency
715;Tilia;cordata;;Greenspire;4;2014;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
720;Tilia;cordata;;Greenspire;4;2014;19803;3;75 WOODWARD ST.;3;2019;Jersey City Redevelopment Agency
